O:,111.58,-0.27,-7.84,134.26
O:,111.58,-0.27,-7.84,133.72
O:,111.58,-0.26,-7.84,133.23
O:,111.58,-0.26,-7.84,133.38
O:,111.58,-0.26,-7.83,133.51
O:,111.58,-0.26,-7.83,133.47
O:,111.59,-0.26,-7.84,133.44
O:,111.59,-0.26,-7.84,133.67
O:,111.59,-0.26,-7.84,133.88
O:,111.59,-0.26,-7.84,133.46
O:,111.59,-0.26,-7.84,133.08
O:,111.59,-0.26,-7.83,132.87
O:,111.60,-0.26,-7.83,132.68
O:,111.60,-0.26,-7.83,132.82
O:,111.60,-0.27,-7.83,132.94
O:,111.60,-0.27,-7.83,132.94
O:,111.61,-0.26,-7.83,132.93
O:,111.61,-0.27,-7.83,132.80
O:,111.61,-0.27,-7.83,132.69
O:,111.61,-0.27,-7.83,132.83
O:,111.61,-0.27,-7.84,132.95
O:,111.61,-0.27,-7.84,132.89
O:,111.61,-0.27,-7.84,132.84
O:,111.61,-0.28,-7.84,132.79
O:,111.62,-0.27,-7.84,132.74
O:,111.62,-0.27,-7.84,132.56
O:,111.62,-0.27,-7.84,132.40
O:,111.62,-0.27,-7.83,132.61
O:,111.62,-0.27,-7.83,132.81
O:,111.62,-0.27,-7.83,132.92
O:,111.62,-0.27,-7.83,133.02
O:,111.62,-0.27,-7.83,132.82
O:,111.63,-0.27,-7.83,132.63
O:,111.63,-0.28,-7.83,133.09
O:,111.63,-0.28,-7.83,133.51
O:,111.63,-0.27,-7.83,133.66
O:,111.63,-0.28,-7.83,133.81
O:,111.64,-0.27,-7.83,133.73
O:,111.64,-0.27,-7.83,133.65
O:,111.64,-0.27,-7.83,133.75
O:,111.64,-0.27,-7.84,133.83
O:,111.64,-0.27,-7.84,133.61
O:,111.64,-0.27,-7.84,133.40
O:,111.64,-0.27,-7.83,133.25
O:,111.64,-0.26,-7.83,133.12
O:,111.64,-0.26,-7.83,133.31
O:,111.65,-0.26,-7.83,133.48
O:,111.65,-0.26,-7.83,133.87
O:,111.65,-0.26,-7.83,134.22
O:,111.66,-0.26,-7.83,133.81
