O:,114.15,87.54,-27.67,166.23,151126
O:,114.08,87.55,-27.74,166.38,151127
O:,114.13,87.56,-27.69,166.51,151128
O:,114.12,87.57,-27.70,166.40,151129
O:,114.14,87.57,-27.69,166.31,151130
O:,114.00,87.58,-27.84,166.59,151131
O:,113.86,87.58,-27.97,166.84,151132
O:,113.71,87.58,-28.13,166.87,151133
O:,113.52,87.58,-28.33,166.89,151134
O:,113.36,87.57,-28.48,166.75,151135
O:,113.18,87.57,-28.66,166.62,151136
O:,113.10,87.56,-28.73,166.49,151137
O:,112.77,87.56,-29.05,166.37,151138
O:,112.86,87.55,-28.97,166.38,151139
O:,112.87,87.54,-28.96,166.39,151140
O:,112.75,87.53,-29.09,166.35,151141
O:,112.86,87.52,-28.98,166.31,151142
O:,112.87,87.52,-28.97,166.33,151143
O:,113.00,87.52,-28.84,166.34,151144
O:,112.99,87.52,-28.86,166.34,151145
O:,113.03,87.53,-28.81,166.33,151146
O:,113.10,87.54,-28.74,166.56,151147
O:,113.25,87.54,-28.60,167.04,151148
O:,113.37,87.55,-28.48,167.49,151149
O:,113.49,87.55,-28.36,167.90,151150
O:,113.55,87.56,-28.30,168.18,151151
O:,113.57,87.56,-28.28,168.44,151152
O:,113.62,87.56,-28.23,168.17,151153
O:,113.67,87.56,-28.19,167.92,151154
O:,113.55,87.56,-28.30,167.98,151155
O:,113.55,87.56,-28.29,168.02,151156
O:,113.41,87.56,-28.43,168.26,151157
O:,113.48,87.55,-28.36,168.48,151158
O:,113.27,87.55,-28.58,168.05,151159
O:,113.27,87.54,-28.58,167.65,151160
O:,113.33,87.54,-28.51,167.82,151161
O:,113.34,87.53,-28.49,167.97,151162
O:,113.52,87.52,-28.32,167.90,151163
O:,113.51,87.51,-28.33,167.83,151164
O:,113.58,87.50,-28.25,167.12,151165
O:,113.65,87.50,-28.19,166.47,151166
O:,113.83,87.49,-28.02,166.32,151167
O:,113.97,87.48,-27.89,166.17,151168
O:,113.93,87.48,-27.93,166.18,151169
O:,113.92,87.48,-27.95,166.19,151170
O:,114.22,87.48,-27.65,166.61,151171
O:,114.38,87.48,-27.49,166.98,151172
O:,114.48,87.48,-27.41,166.52,151173
O:,114.53,87.49,-27.35,166.10,151174
O:,114.79,87.50,-27.08,166.17,151175
O:,114.93,87.51,-26.94,166.23,151176
O:,114.99,87.51,-26.89,166.15,151177
O:,115.15,87.51,-26.74,166.07,151178
O:,115.20,87.51,-26.69,166.44,151179
O:,115.24,87.52,-26.64,166.78,151180
O:,115.12,87.51,-26.76,166.65,151181
O:,115.14,87.51,-26.74,166.54,151182
O:,115.11,87.50,-26.77,167.01,151183
O:,114.98,87.49,-26.90,167.44,151184
O:,115.00,87.49,-26.89,167.37,151185
O:,114.91,87.48,-27.00,167.32,151186
O:,114.92,87.46,-26.99,166.98,151187
O:,114.73,87.46,-27.19,166.68,151188
O:,114.67,87.46,-27.24,166.35,151189
O:,114.96,87.46,-26.96,166.05,151190
O:,115.01,87.46,-26.90,165.96,151191
O:,115.22,87.46,-26.69,165.89,151192
O:,115.46,87.45,-26.47,165.94,151193
O:,115.38,87.47,-26.53,165.99,151194
O:,115.60,87.48,-26.31,165.77,151195
O:,115.74,87.48,-26.17,165.57,151196
O:,115.77,87.49,-26.13,165.65,151197
O:,115.95,87.49,-25.95,165.72,151198
O:,116.00,87.50,-25.91,165.58,151199
O:,115.94,87.50,-25.98,165.45,151200
O:,115.96,87.51,-25.96,165.22,151201
O:,116.07,87.52,-25.84,165.01,151202
O:,116.08,87.53,-25.83,164.86,151203
O:,116.08,87.53,-25.83,164.72,151204
